"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","PredLabel","Confidence","ConsecutiveQualifyingNREM","Triggered","Reason","TtlMode","PulseWidthMs","CooldownRemainingSeconds","EventTimeUTC","SimulatedTtlOnTimeSeconds"
"realtime_demo_single_subject","3","4.000","6.000","Wake","0.771999","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","4","6.000","8.000","Wake","0.716413","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","5","8.000","10.000","Wake","0.676402","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","6","10.000","12.000","Wake","0.605676","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","7","12.000","14.000","Wake","0.593600","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","8","14.000","16.000","Wake","0.810677","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","9","16.000","18.000","Wake","0.700164","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","10","18.000","20.000","Wake","0.884171","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","11","20.000","22.000","Wake","0.869340","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","12","22.000","24.000","Wake","0.921823","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","13","24.000","26.000","Wake","0.745444","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","14","26.000","28.000","Wake","0.744336","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","15","28.000","30.000","Wake","0.553378","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","16","30.000","32.000","REM","0.449056","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
