"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","Status","WindowStartSample","WindowEndSample","SourceSampleRate","ProcessingSampleRate","ReplayEpochCloseSeconds","EpochAvailableSeconds","WallClockElapsedSeconds","DecisionWallTimeSeconds","InferenceLatencyMs","EndToEndLatencyMs","MissedDeadline","FeatureWindowSeconds","ModelProfile","RawCode","PredLabel","Confidence"
"realtime_demo_single_subject","90","178.000","180.000","scored","5220000","5400000","30000.000","1000.000","180.000","180.000","179.841456","179.841456","0.756500","0.758300","False","2.000","E2.0W3","2","Wake","0.984286"
"realtime_demo_single_subject","91","180.000","182.000","scored","5280000","5460000","30000.000","1000.000","182.000","182.000","181.839575","181.839575","0.777000","0.778700","False","2.000","E2.0W3","2","Wake","0.987465"
"realtime_demo_single_subject","92","182.000","184.000","scored","5340000","5520000","30000.000","1000.000","184.000","184.000","183.840396","183.840396","0.684500","0.685900","False","2.000","E2.0W3","2","Wake","0.986805"
"realtime_demo_single_subject","93","184.000","186.000","scored","5400000","5580000","30000.000","1000.000","186.000","186.000","185.839704","185.839704","0.750200","0.752100","False","2.000","E2.0W3","2","Wake","0.995691"
"realtime_demo_single_subject","94","186.000","188.000","scored","5460000","5640000","30000.000","1000.000","188.000","188.000","187.840471","187.840471","0.890500","0.892300","False","2.000","E2.0W3","2","Wake","0.987487"
"realtime_demo_single_subject","95","188.000","190.000","scored","5520000","5700000","30000.000","1000.000","190.000","190.000","189.839902","189.839902","0.816000","0.817300","False","2.000","E2.0W3","2","Wake","0.941393"
"realtime_demo_single_subject","96","190.000","192.000","scored","5580000","5760000","30000.000","1000.000","192.000","192.000","191.840560","191.840560","1.063700","1.065400","False","2.000","E2.0W3","2","Wake","0.782577"
"realtime_demo_single_subject","97","192.000","194.000","scored","5640000","5820000","30000.000","1000.000","194.000","194.000","193.840180","193.840180","0.715000","0.716300","False","2.000","E2.0W3","2","Wake","0.821941"
"realtime_demo_single_subject","98","194.000","196.000","scored","5700000","5880000","30000.000","1000.000","196.000","196.000","195.839951","195.839951","0.766500","0.768100","False","2.000","E2.0W3","2","Wake","0.838138"
"realtime_demo_single_subject","99","196.000","198.000","scored","5760000","5940000","30000.000","1000.000","198.000","198.000","197.841793","197.841793","0.771100","0.772400","False","2.000","E2.0W3","2","Wake","0.698004"
"realtime_demo_single_subject","100","198.000","200.000","scored","5820000","6000000","30000.000","1000.000","200.000","200.000","199.841490","199.841490","0.808400","0.810300","False","2.000","E2.0W3","2","Wake","0.553997"
"realtime_demo_single_subject","101","200.000","202.000","scored","5880000","6060000","30000.000","1000.000","202.000","202.000","201.839694","201.839694","0.761000","0.762800","False","2.000","E2.0W3","2","Wake","0.603327"
"realtime_demo_single_subject","102","202.000","204.000","scored","5940000","6120000","30000.000","1000.000","204.000","204.000","203.839535","203.839535","0.699400","0.701000","False","2.000","E2.0W3","2","Wake","0.660188"
"realtime_demo_single_subject","103","204.000","206.000","scored","6000000","6180000","30000.000","1000.000","206.000","206.000","205.840743","205.840743","0.879300","0.881600","False","2.000","E2.0W3","2","Wake","0.821863"
"realtime_demo_single_subject","104","206.000","208.000","scored","6060000","6240000","30000.000","1000.000","208.000","208.000","207.840333","207.840333","0.875100","0.876800","False","2.000","E2.0W3","2","Wake","0.710834"
